PDB_ID,UniProt_ID,Protein_Class_Uniprot
12as,P00963,Ligase
16pk,P07378,Kinase
1a05,Q56268,Oxidoreductase
1a49,P11974,Allosteric enzyme
1a4e,P15202,Oxidoreductase
1a4m,P03958,Hydrolase
1a54,P0AG82,UNKNOWN
1a59,O34002,Transferase
1a5z,P16115,Allosteric enzyme
1a65,Q9Y780,Oxidoreductase
1a70,P00221,UNKNOWN
1a78,P56217,UNKNOWN
1a8p,Q44532,Oxidoreductase
1a8r,P0A6T5,Allosteric enzyme
1a95,P0A9M5,Glycosyltransferase
1aa6,P07658,Oxidoreductase
1ab8,P26769,Lyase
1ae1,P50162,Oxidoreductase
1aec,P00785,Hydrolase
1aer,P11439,Glycosyltransferase
1af7,P07801,Methyltransferase
1afs,P23457,Oxidoreductase
1ag9,P61949,UNKNOWN
1ah4,P80276,Oxidoreductase
1ai2,P08200,Oxidoreductase
1aj8,Q53554,Allosteric enzyme
1aky,P07170,Kinase
1ami,P20004,Lyase
1amu,P0C061,Isomerase
1aoe,P22906,Oxidoreductase
1aor,Q51739,Oxidoreductase
1apx,P48534,Oxidoreductase
1aqu,P49891,Transferase
1arc,P15636,Hydrolase
1ash,P28316,UNKNOWN
1at3,Q69527,Hydrolase
1atl,P15167,Hemorrhagic toxin
1aux,P17599,Actin-binding
1awd,P56408,UNKNOWN
1b02,P0CI79,Methyltransferase
1b09,P02741,UNKNOWN
1b0b,P41260,UNKNOWN
1b0u,P02915,Translocase
1b12,P00803,Hydrolase
1b16,P10807,Oxidoreductase
1b25,Q8U1K3,Oxidoreductase
1b37,O64411,Oxidoreductase
1b3a,P13501,Cytokine
1b4u,P22636,Dioxygenase
1b63,P23367,UNKNOWN
1b66,P27213,Lyase
1b7a,P13696,Protease inhibitor
1b7y,P27001,Aminoacyl-tRNA synthetase
1b8a,Q52428,Aminoacyl-tRNA synthetase
1b8v,Q9ZF99,Oxidoreductase
1b9h,O52552,Lyase
1b9v,P03474,Glycosidase
1ba1,P19120,Chaperone
1bai,P03322,Aspartyl protease
1bb6,P11941,Antibiotic
1bd0,P10724,Isomerase
1bd4,Q26998,Allosteric enzyme
1bdb,P47227,Oxidoreductase
1bdo,P0ABD8,UNKNOWN
1be4,P52175,Hydrolase
1beh,P30086,Protease inhibitor
1bfv,P18529,UNKNOWN
1bg2,P33176,Motor protein
1bgp,Q40069,Oxidoreductase
1bh6,P00781,Hydrolase
1bhn,P52174,UNKNOWN
1bin,P02238,UNKNOWN
1bit,P35031,Hydrolase
1bkj,Q56691,Oxidoreductase
1bo4,Q53396,Transferase
1bqy,Q91516,Fibrinolytic toxin
1brw,P77836,Glycosyltransferase
1btn,Q62261,Actin capping
1buc,Q06319,Oxidoreductase
1bw9,Q59771,Oxidoreductase
1bwo,P24296,UNKNOWN
1bwv,O98949,Lyase
1bx4,P55263,Kinase
1bxm,P15570,UNKNOWN
1bxo,P00798,Aspartyl protease
1byd,P10538,Glycosidase
1byg,P41240,Kinase
1byu,P62825,Hydrolase
1bzl,P28593,Oxidoreductase
1c0a,P21889,Aminoacyl-tRNA synthetase
1c0p,P80324,Oxidoreductase
1c14,P0AEK4,Oxidoreductase
1c3r,O67135,UNKNOWN
1c3v,P9WP23,Oxidoreductase
1c3x,P81989,Glycosyltransferase
1c52,P04164,UNKNOWN
1c6r,P57736,UNKNOWN
1c6y,O09893,Aspartyl protease
1c70,O92103,Aspartyl protease
1c75,P82599,UNKNOWN
1c7n,Q56257,Lyase
1c9k,Q05599,Kinase
