PDB_ID,UniProt_ID
12as,P00963
16pk,P07378
1a05,Q56268
1a49,P11974
1a4e,P15202
1a4m,P03958
1a54,P0AG82
1a59,O34002
1a5z,P16115
1a65,Q9Y780
1a70,P00221
1a78,P56217
1a8p,Q44532
1a8r,P0A6T5
1a95,P0A9M5
1aa6,P07658
1ab8,P26769
1ae1,P50162
1aec,P00785
1aer,P11439
1af7,P07801
1afs,P23457
1ag9,P61949
1ah4,P80276
1ai2,P08200
1aj8,Q53554
1aky,P07170
1ami,P20004
1amu,P0C061
1aoe,P22906
1aor,Q51739
1apx,P48534
1aqu,P49891
1arc,P15636
1ash,P28316
1at3,Q69527
1atl,P15167
1aux,P17599
1awd,P56408
1b02,P0CI79
1b09,P02741
1b0b,P41260
1b0u,P02915
1b12,P00803
1b16,P10807
1b25,Q8U1K3
1b37,O64411
1b3a,P13501
1b4u,P22636
1b63,P23367
1b66,P27213
1b7a,P13696
1b7y,P27001
1b8a,Q52428
1b8v,Q9ZF99
1b9h,O52552
1b9v,P03474
1ba1,P19120
1bai,P03322
1bb6,P11941
1bd0,P10724
1bd4,Q26998
1bdb,P47227
1bdo,P0ABD8
1be4,P52175
1beh,P30086
1bfv,P18529
1bg2,P33176
1bgp,Q40069
1bh6,P00781
1bhn,P52174
1bin,P02238
1bit,P35031
1bkj,Q56691
1bo4,Q53396
1bqy,Q91516
1brw,P77836
1btn,Q62261
1buc,Q06319
1bw9,Q59771
1bwo,P24296
1bwv,O98949
1bx4,P55263
1bxm,P15570
1bxo,P00798
1byd,P10538
1byg,P41240
1byu,P62825
1bzl,P28593
1c0a,P21889
1c0p,P80324
1c14,P0AEK4
1c3r,O67135
1c3v,P9WP23
1c3x,P81989
1c52,P04164
1c6r,P57736
1c6y,O09893
1c70,O92103
1c75,P82599
1c7n,Q56257
1c9k,Q05599
1c9w,O08782
1cbf,O87696
1cbk,P43777
1cc1,P13065
1cc5,P11732
1ccr,Q0DI31
1cdk,P36887
1cdo,P26325
1ce8,P00968
1cer,P00361
1cf2,P10618
1cfv,P18524
1cgh,P08311
1chm,P38488
1chw,P30074
1ci3,P95522
1ci9,Q9KX40
1cip,P10824
1cjc,P08165
1cjw,Q29495
1ckm,Q84424
1cle,P32947
1cm8,P53778
1cno,P82903
1co6,P00083
1cot,P00096
1coy,P22637
1coz,P27623
1cpq,P00147
1cqx,P39662
1cr1,P03692
1cr5,P18759
1crb,P02696
1cru,P13650
1csh,P23007
1csn,P40233
1ct5,P38197
1ct9,P22106
1ctj,Q09099
1ctt,P0ABF6
1cvr,P95493
1cvz,P00784
1cx4,P12369
1cxc,P0C0X8
1cxl,P43379
1cxv,P33435
1cxy,P82291
1cy1,P06612
1cyc,P00025
1cyd,P08074
1cyi,P08197
1cyo,P00171
1cza,P19367
1czj,P38554
1czn,P10340
1czp,P0A3C8
1czs,P12259
1d06,P10955
1d0l,P41052
1d1g,Q60034
1d1q,P40347
1d1t,P40394
1d2e,P49410
1d2f,P23256
1d2n,P18708
1d2v,P05164
1d3v,P07824
1d4d,P83223
1d4o,P11024
1d4x,P0DM41
1d5c,Q26000
1d6a,P10297
1d6v,P01857
1d6z,P46883
1d7o,P80030
1d7u,P16932
1d7x,P08254
1d8d,Q02293
1dad,P13000
1dar,Q5SHN5
1dbt,P25971
1dcp,P61459
1ddg,P38038
1ddt,P00588
1de6,P32170
1ded,P05618
1del,P04531
1dfo,P0A825
1dgf,P04040
1dhr,P11348
1dia,P11586
1dih,P04036
1dim,P29768
1dje,P12998
1djl,Q13423
1djp,P10182
1dk0,Q54450
1dku,P14193
1dl5,Q56308
1dlj,P0C0F4
1dlw,P15160
1dly,Q08753
1dmh,P07773
1dms,Q52675
1dmy,P23589
1dnl,P0AFI7
1dnp,P00914
1doi,P00217
1dqn,Q24973
1dr1,P00378
1ds1,Q05581
1dss,P56649
1dt1,Q5SME3
1dtl,P09860
1duv,P04391
1duw,Q9XCU0
1dw0,P81238
1dxy,P17584
1dzm,P81245
1dzt,P26394
1e12,P0DMH7
1e19,P95474
1e24,P0A8N5
1e29,Q55013
1e2k,P0DTH5
1e2s,P15289
1e2v,P23577
1e3i,Q9QYY9
1e3z,P00692
1e4e,P25051
1e4i,P22073
1e59,P62707
1e5d,Q9F0J6
1e5q,Q9P4R4
1e6a,P00817
1e6q,P29736
1e6u,P32055
1e6w,O70351
1e7u,O02697
1e7w,Q01782
1e8c,P22188
1e8d,P52705
1e8g,P56216
1e8m,P23687
1e8u,Q9Q2W5
1e93,P42321
1e9a,P23919
1e9l,O35744
1eag,P0CS83
1ebf,P31116
1ec8,P0AES2
1eca,P02229
1edo,Q93X62
1ee0,P48391
1ee2,P00328
1efd,P07822
1efh,Q06520
1efi,P32890
1eft,Q01698
1eg2,P14751
1eg5,Q9X218
1eg9,P0A110
1egd,P11310
1egh,P0A731
1ehi,Q03ZI1
1eix,P08244
1ej0,P0C0R7
1ej2,O26253
1ejb,P50861
1eje,O26255
1ek0,P36017
1ek6,Q14376
1ekx,P0A786
1elu,Q9ZHG9
1elv,P09871
1emy,P02186
1eoc,P20372
1eoi,Q9S1A6
1epb,P06911
1eq2,P67910
1esq,P39593
1esw,O87172
1et0,P28305
1etp,Q52369
1etr,P00735
1eua,P0A955
1ev4,P00502
1evl,P0A8M3
1ew9,P00634
1ewj,P13081
1ex7,P15454
1exw,P45478
1eye,P9WND1
1eyq,P28012
1eyx,Q7SIF9
1ez0,Q56694
1ez4,P56511
1f06,P04964
1f0x,P06149
1f0y,Q16836
1f1c,P82603
1f1v,Q44048
1f28,P13100
1f2d,Q7M523
