pdb_id,chain,split,cv_batch,n_residues,n_binding,row_hash
4lzj,B,training,2,299,10,787e6956
4m1j,C,testing,0,548,7,9c3e0449
4m20,A,training,3,121,11,7d45c92f
4m25,A,training,4,336,9,831cf5c2
4m2m,A,training,5,380,9,7985c5b0
4m37,A,testing,0,337,12,48e6a9ed
4m51,A,training,2,402,5,975a3ff7
4m7t,A,training,5,246,15,e672799c
4m7u,A,training,3,170,22,bc81d72a
4m7x,A,training,5,273,17,04fd08eb
4m82,A,training,3,393,11,a9b69b1f
4m8d,L,training,3,262,7,ad0342dd
4ma6,A,training,3,156,6,61513157
4ma7,A,training,5,110,5,2440f564
4maf,E,training,3,403,13,4a0eb899
4mb2,B,training,4,257,12,faee95d7
4mda,A,training,3,200,7,d03b0f0f
4mhy,A,training,2,324,9,b7cb4599
4mi4,A,testing,0,170,6,8e1650a3
4mif,C,training,1,572,21,037eb2a8
4mit,D,training,4,181,17,49fe9a97
4mix,A,training,3,273,11,ac960947
4mjr,A,training,1,360,8,dec8268a
4mk2,A,val,0,200,8,934e9b5c
4mkv,B,training,5,458,15,78f1ed1a
4mla,A,val,0,477,25,dde31fb7
4mll,A,val,0,250,10,78b2fdaa
4mln,B,val,0,182,10,6652588c
4mlv,A,training,2,290,18,04769b98
4mo2,B,training,3,365,22,518f6acb
4mo4,B,training,5,348,12,bc3f7bda
4mob,A,testing,0,319,24,3b1d0256
4mpm,A,training,2,147,13,2368e107
4mpo,B,training,1,148,7,993fd1fd
4mpu,A,testing,0,243,9,91e535cf
4mpy,B,training,1,499,18,cdabb96f
4mqy,A,training,1,302,11,9ece3c67
4mrf,A,training,4,150,5,14eeb389
4mrs,A,training,3,588,6,5e3d5ad1
4ms4,A,training,3,408,11,a3a766c8
4mss,A,val,0,339,7,f46f58f1
4muq,A,testing,0,251,10,e770b7cf
4mus,B,training,5,188,11,29a7331f
4muv,A,training,1,142,10,042dc521
4mv4,A,training,4,442,9,b420a337
4mvn,A,training,1,198,9,05d31407
4mw0,B,testing,0,533,10,b5ceceed
4mwr,A,training,1,388,11,79cd5ce6
4mwy,A,testing,0,388,12,3e3d1081
4mxp,A,val,0,310,12,cb4048bf
4myd,A,training,4,252,10,9e986eb2
4mzq,A,training,2,143,14,cdf829c5
4mzu,B,training,3,290,20,4eed9039
4mzv,A,training,5,242,6,5bb8fac0
4n02,A,training,2,332,15,20a8a8a9
4n3e,K,training,5,159,22,894ef7ab
4n49,A,training,5,402,22,0bf7711f
4n4j,A,training,2,497,103,c26f5d05
4n4t,A,training,1,212,9,92e8c051
4n5n,A,training,5,244,17,574b3355
4n65,A,training,1,207,14,4c53c2ac
4n67,A,training,3,214,10,56814e21
4n6f,A,training,4,242,11,3fd6f377
4n73,A,training,3,198,16,08ffafa4
4n8i,A,training,2,440,17,0bc48f58
4n9i,B,testing,0,202,8,49a0807f
4n9w,A,training,5,360,12,e69a7679
4n9z,B,training,5,508,6,98e5ec0d
4nae,A,val,0,219,8,f41eb731
4nao,A,training,4,282,6,b8e91581
4nat,C,training,4,155,13,137098ce
4nb4,D,training,1,265,24,2a1266dc
4nb5,A,training,1,145,6,b2b37e95
4nbi,A,val,0,163,8,7c63680c
4nbn,A,testing,0,257,6,2edc24d5
4nbt,D,training,3,239,22,898b85bd
4nbw,B,training,3,253,20,92690e19
4nc7,A,training,5,79,5,772c2f57
4ncb,A,training,1,676,11,f2c28150
4ncr,B,val,0,413,32,398e77ec
4ncs,A,val,0,350,9,409034ee
